,ID,Year,Fall,Name,Nametype,Mass,Latitude,Longitude
797,18834,1882-01-01T00:00:00.000,Fell,Pirgunje,Valid,842,25.800000,88.450000
798,18835,1884-01-01T00:00:00.000,Fell,Pirthalla,Valid,1161,29.583330,76.000000
799,18837,1921-01-01T00:00:00.000,Fell,Pitts,Valid,3760,31.950000,-83.516670
800,18846,1930-01-01T00:00:00.000,Fell,Plantersville,Valid,2085,30.700000,-96.116670
801,51706,2008-01-01T00:00:00.000,Fell,Ple?coi,Valid,6913,45.275000,26.709720
802,18849,1723-01-01T00:00:00.000,Fell,Ploschkovitz,Valid,39,50.533330,14.116670
803,18851,1868-01-01T00:00:00.000,Fell,Pnompehn,Valid,96,11.583330,104.916670
804,32592,2002-01-01T00:00:00.000,Found,Dominion Range 03240,Valid,290.89999999999998,,
805,18853,1819-01-01T00:00:00.000,Fell,Pohlitz,Valid,3000,50.933330,12.133330
806,18858,1866-01-01T00:00:00.000,Fell,Pokhra,Valid,350,26.716670,82.666670
807,18860,1942-01-01T00:00:00.000,Fell,Pollen,Valid,253.6,66.348330,14.015000
808,18865,1931-01-01T00:00:00.000,Fell,Pontlyfni,Valid,157,53.036390,-4.319440
809,18874,1998-01-01T00:00:00.000,Fell,Portales Valley,Valid,71400,34.175000,-103.295000
810,18876,1796-01-01T00:00:00.000,Fell,Portugal,Valid,4500,38.500000,-8.000000
811,18879,1933-01-01T00:00:00.000,Fell,Po-wang Chen,Valid,665,31.416670,118.500000
812,18883,1932-01-01T00:00:00.000,Fell,Prambachkirchen,Valid,2125,48.302500,13.940830
813,18887,1959-01-01T00:00:00.000,Fell,Pribram,Valid,5555,49.666670,14.033330
814,18888,1893-01-01T00:00:00.000,Fell,Pricetown,Valid,900,39.116670,-83.850000
815,45984,2007-01-01T00:00:00.000,Fell,Puerto Lápice,Valid,500,39.350000,-3.516670
816,18899,1863-01-01T00:00:00.000,Fell,Pulsora,Valid,560,23.366670,75.183330
817,18901,1868-01-01T00:00:00.000,Fell,Pultusk,Valid,250000,52.766670,21.266670
818,18902,1811-01-01T00:00:00.000,Fell,Punganaru,Valid,100,13.333330,78.950000
819,18905,1937-01-01T00:00:00.000,Fell,Putinga,Valid,300000,-29.033330,-53.050000
820,18907,1982-01-01T00:00:00.000,Fell,Qidong,Valid,1275,32.083330,121.500000
821,18908,1976-01-01T00:00:00.000,Fell,Qingzhen,Valid,2600,26.533330,106.466670
822,22357,1925-01-01T00:00:00.000,Fell,Queen's Mercy,Valid,7000,-30.116670,28.700000
823,22358,1857-01-01T00:00:00.000,Fell,Quenggouk,Valid,6045,17.766670,95.183330
824,22360,1898-01-01T00:00:00.000,Fell,Quesa,Valid,10750,39.000000,-0.666670
825,22361,1990-01-01T00:00:00.000,Fell,Quija,Valid,17450,44.616670,126.133330
826,22363,1851-01-01T00:00:00.000,Fell,Quincay,Valid,65,46.600000,0.250000
827,22368,1957-01-01T00:00:00.000,Fell,Raco,Valid,5000,-26.666670,-65.450000
828,22371,1986-01-01T00:00:00.000,Fell,Raghunathpura,Valid,10200,27.725280,76.465000
829,31302,1983-01-01T00:00:00.000,Fell,Rahimyar Khan,Valid,67225,28.225000,70.200000
830,22376,1878-01-01T00:00:00.000,Fell,Rakovka,Valid,9000,52.983330,37.033330
831,22384,1940-01-01T00:00:00.000,Fell,Ramnagar,Valid,3766,26.450000,82.900000
832,22385,1916-01-01T00:00:00.000,Fell,Rampurhat,Valid,100,24.166670,87.766670
833,22386,1958-01-01T00:00:00.000,Fell,Ramsdorf,Valid,4682,51.883330,6.933330
834,22387,1917-01-01T00:00:00.000,Fell,Ranchapur,Valid,290.39999999999998,23.983330,87.083330
