Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A420630,OWNER SUR,02/24/2019,BEAR,DOG,9 YEARS,MED,WHITE,AMER BULLDOG,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A420630&location=MONT,
A431177,RETURN,08/19/2018,ROCKY,DOG,2 YEARS,LARGE,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A431177&location=MONT,
A441099,OWNER SUR,07/14/2018,PSYCHE,CAT,10 YEARS,MED,SEAL PT,SIAMESE,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A441099&location=MONT,
A440923,CONFISCATE,07/27/2018,*SKIPPER,CAT,4 YEARS,MED,GRAY,SIAMESE,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440923&location=MONT,
A440309,OWNER SUR,07/14/2018,*MERINGUE,CAT,7 YEARS,SMALL,FLAME PT,SIAMESE,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440309&location=MONT,
A425722,STRAY,02/04/2019,AUGUST,DOG,3 YEARS,LARGE,GRAY / WHITE,AMER BULLDOG / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A425722&location=MONT,2100 AVOCA LANE SPENCERVILLE MD 20868
A438599,STRAY,06/02/2018,*RAVI,DOG,5 YEARS,MED,WHITE / BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438599&location=MONT,"0 OSWEGO AVE, SILVER SPRING MD 20910"
A448377,STRAY,03/15/2019,*CARLOS,CAT,1 YEAR 1 MONTH,SMALL,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448377&location=MONT,"3800 PALMIRA LN, SILVER SPRING MD 20906"
A445931,CONFISCATE,12/19/2018,CHINA,DOG,1 YEAR 4 MONTHS,LARGE,WHITE,DOGO ARGENTINO,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A445931&location=MONT,
A447544,STRAY,02/15/2019,*NICKITO,DOG,1 YEAR 1 MONTH,MED,BLACK / BROWN,CHOW CHOW / FLAT COAT RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A447544&location=MONT,"14700 SENECA CASTLE CT, GAITHERSBURG MD 20878"
