,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
89,Beardsley,85,Valid,H5,16000.0,Fell,1929.0,39.8,-101.2,"(39.800000, -101.200000)"
90,Beaver Creek,86,Valid,H5,14000.0,Fell,1893.0,51.16667,-117.33333,"(51.166670, -117.333330)"
91,Beddgelert,87,Valid,H5,794.0,Fell,1949.0,53.01667,-4.1,"(53.016670, -4.100000)"
92,Bells,88,Valid,C2-ung,375.0,Fell,1961.0,33.6,-96.46667,"(33.600000, -96.466670)"
94,Benares (a),89,Valid,LL4,3700.0,Fell,1798.0,25.366670000000003,82.91667,"(25.366670, 82.916670)"
95,Benguerir,90,Valid,LL6,25000.0,Fell,2004.0,32.25,-8.15,"(32.250000, -8.150000)"
96,Beni M'hira,91,Valid,L6,19000.0,Fell,2001.0,32.86667,10.8,"(32.866670, 10.800000)"
97,Benld,92,Valid,H6,1770.5,Fell,1938.0,39.08333,-89.15,"(39.083330, -89.150000)"
98,Benoni,93,Valid,H6,3880.0,Fell,1943.0,-26.16667,28.41667,"(-26.166670, 28.416670)"
99,Bensour,94,Valid,LL6,45000.0,Fell,2002.0,30.0,-7.0,"(30.000000, -7.000000)"
100,Benton,95,Valid,LL6,2840.0,Fell,1949.0,45.95,-67.55,"(45.950000, -67.550000)"
101,Berduc,96,Valid,L6,270.0,Fell,2008.0,-31.91,-58.32833,"(-31.910000, -58.328330)"
102,Béréba,97,Valid,Eucrite-mmict,18000.0,Fell,1924.0,11.65,-3.65,"(11.650000, -3.650000)"
103,Berlanguillas,98,Valid,L6,1440.0,Fell,1811.0,41.68333,-3.8,"(41.683330, -3.800000)"
104,Berthoud,99,Valid,Eucrite-mmict,960.0,Fell,2004.0,40.30583,-105.02325,"(40.305830, -105.023250)"
105,Bethlehem,100,Valid,H,13.9,Fell,1859.0,42.53333,-73.83333,"(42.533330, -73.833330)"
106,Beuste,101,Valid,L5,2000.0,Fell,1859.0,43.21667,-0.23333,"(43.216670, -0.233330)"
107,Beyrout,102,Valid,LL3.8,1100.0,Fell,1921.0,33.88333,35.5,"(33.883330, 35.500000)"
108,Bhagur,103,Valid,L6,18.0,Fell,1877.0,20.883329999999997,74.83333,"(20.883330, 74.833330)"
109,Bhawad,104,Valid,LL6,678.0,Fell,2002.0,26.508329999999997,73.11528,"(26.508330, 73.115280)"
110,Bherai,105,Valid,L6,100.0,Fell,1893.0,20.83333,71.46667,"(20.833330, 71.466670)"
111,Bhola,106,Valid,LL3-6,1047.0,Fell,1940.0,22.683329999999998,90.65,"(22.683330, 90.650000)"
112,Bholghati,107,Valid,Howardite,2500.0,Fell,1905.0,22.08333,86.9,"(22.083330, 86.900000)"
113,Bialystok,108,Valid,Eucrite-pmict,4000.0,Fell,1827.0,53.1,23.2,"(53.100000, 23.200000)"
114,Bielokrynitschie,109,Valid,H4,1900.0,Fell,1887.0,50.13333,27.16667,"(50.133330, 27.166670)"
115,Bilanga,110,Valid,Diogenite,25000.0,Fell,1999.0,12.45,-0.08333,"(12.450000, -0.083330)"
116,Binningup,111,Valid,H5,488.1,Fell,1984.0,-33.15639,115.67638999999998,"(-33.156390, 115.676390)"
117,Birni N'konni,112,Valid,H4,560.0,Fell,1923.0,13.766670000000001,5.3,"(13.766670, 5.300000)"
118,Bishopville,113,Valid,Aubrite,6000.0,Fell,1843.0,34.16667,-80.28333,"(34.166670, -80.283330)"
119,Bishunpur,114,Valid,LL3.15,1039.0,Fell,1895.0,25.383329999999997,82.6,"(25.383330, 82.600000)"
120,Bjelaja Zerkov,115,Valid,H6,1850.0,Fell,1796.0,49.78333,30.16667,"(49.783330, 30.166670)"
121,Bjurböle,116,Valid,L/LL4,330000.0,Fell,1899.0,60.4,25.8,"(60.400000, 25.800000)"
122,Black Moshannan Park,117,Valid,L5,705.0,Fell,1941.0,40.91667,-78.08333,"(40.916670, -78.083330)"
123,Blackwell,118,Valid,L5,2381.0,Fell,1906.0,36.83333,-97.33333,"(36.833330, -97.333330)"
124,Blanket,119,Valid,L6,5100.0,Fell,1909.0,31.83333,-98.83333,"(31.833330, -98.833330)"
125,Blansko,120,Valid,H6,470.0,Fell,1833.0,49.36667,16.633329999999997,"(49.366670, 16.633330)"
126,Bloomington,121,Valid,LL6,67.8,Fell,1938.0,40.48,-89.00417,"(40.480000, -89.004170)"
127,Bo Xian,122,Valid,LL3.9,7500.0,Fell,1977.0,33.83333,115.83333,"(33.833330, 115.833330)"
128,Bocas,123,Valid,L6,56.0,Fell,1804.0,23.0,-102.0,"(23.000000, -102.000000)"
129,Bogou,124,Valid,"Iron, IAB-MG",8800.0,Fell,1962.0,12.5,0.7,"(12.500000, 0.700000)"
130,Boguslavka,125,Valid,"Iron, IIAB",256000.0,Fell,1916.0,44.55,131.63333,"(44.550000, 131.633330)"
131,Borgo San Donino,126,Valid,LL6,1676.0,Fell,1808.0,44.86667,10.05,"(44.866670, 10.050000)"
132,Bori,127,Valid,L6,8600.0,Fell,1894.0,21.95,78.03333,"(21.950000, 78.033330)"
133,Boriskino,128,Valid,CM2,1342.0,Fell,1930.0,54.23333,52.48333,"(54.233330, 52.483330)"
134,Borkut,129,Valid,L5,7000.0,Fell,1852.0,48.15,24.28333,"(48.150000, 24.283330)"
135,Borodino,130,Valid,H5,500.0,Fell,1812.0,55.46666999999999,35.86667,"(55.466670, 35.866670)"
136,Botschetschki,131,Valid,L4,614.0,Fell,1823.0,51.33333,33.88333,"(51.333330, 33.883330)"
137,Boumdeid (2003),132,Valid,L6,190.0,Fell,2003.0,17.71067,-11.3715,"(17.710670, -11.371500)"
138,Boumdeid (2011),133,Valid,L6,3599.0,Fell,2011.0,17.17493,-11.341330000000001,"(17.174930, -11.341330)"
139,Bovedy,134,Valid,L3,5460.0,Fell,1969.0,54.566669999999995,-6.33333,"(54.566670, -6.333330)"
140,Bradford Woods,135,Valid,L,762.0,Fell,1886.0,40.5,-80.08333,"(40.500000, -80.083330)"
141,Braunau,136,Valid,"Iron, IIAB",39000.0,Fell,1847.0,50.6,16.3,"(50.600000, 16.300000)"
142,Breitscheid,137,Valid,H5,1500.0,Fell,1956.0,50.666940000000004,8.18361,"(50.666940, 8.183610)"
143,Bremervörde,138,Valid,H/L3.9,7250.0,Fell,1855.0,53.4,9.1,"(53.400000, 9.100000)"
144,Brient,139,Valid,Eucrite-pmict,219.0,Fell,1933.0,52.13333,59.316669999999995,"(52.133330, 59.316670)"
145,Bruderheim,140,Valid,L6,303000.0,Fell,1960.0,53.9,-112.88333,"(53.900000, -112.883330)"
146,Bukhara,141,Valid,CV3,5300.0,Fell,2001.0,39.77978,64.60035,"(39.779780, 64.600350)"
148,Bunburra Rockhole,142,Valid,Eucrite,324.0,Fell,2007.0,-31.35,129.19,"(-31.350000, 129.190000)"
149,Bununu,143,Valid,Howardite,357.0,Fell,1942.0,10.01667,9.58333,"(10.016670, 9.583330)"
150,Bur-Gheluai,144,Valid,H5,120000.0,Fell,1919.0,5.0,48.0,"(5.000000, 48.000000)"
151,Burnwell,145,Valid,H4-an,1504.0,Fell,1990.0,37.62194,-82.23722,"(37.621940, -82.237220)"
152,Bursa,146,Valid,L6,25000.0,Fell,1946.0,40.2,29.23333,"(40.200000, 29.233330)"
153,Buschhof,147,Valid,L6,5000.0,Fell,1863.0,46.45,25.78333,"(46.450000, 25.783330)"
154,Bustee,148,Valid,Aubrite,1500.0,Fell,1852.0,26.78333,82.83333,"(26.783330, 82.833330)"
155,Butsura,149,Valid,H6,29000.0,Fell,1861.0,27.08333,84.08333,"(27.083330, 84.083330)"
156,Buzzard Coulee,150,Valid,H4,41000.0,Fell,2008.0,52.996,-109.84817,"(52.996000, -109.848170)"
157,Cabezo de Mayo,151,Valid,L/LL6,25000.0,Fell,1870.0,37.98333,-1.16667,"(37.983330, -1.166670)"
158,Cabin Creek,152,Valid,"Iron, IIIAB",48500.0,Fell,1886.0,35.5,-93.5,"(35.500000, -93.500000)"
159,Cacak,153,Valid,OC,212.0,Fell,1919.0,43.83889,20.33333,"(43.838890, 20.333330)"
160,Cali,154,Valid,H/L4,478.0,Fell,2007.0,3.405,-76.51,"(3.405000, -76.510000)"
161,Calivo,155,Valid,Stone-uncl,2400.0,Fell,1916.0,11.75,122.33333,"(11.750000, 122.333330)"
162,Campos Sales,156,Valid,L5,23680.0,Fell,1991.0,-7.03333,-40.16667,"(-7.033330, -40.166670)"
163,Çanakkale,157,Valid,L6,4000.0,Fell,1964.0,39.8,26.6,"(39.800000, 26.600000)"
164,Cañellas,158,Valid,H4,945.0,Fell,1861.0,41.25,1.66667,"(41.250000, 1.666670)"
165,Cangas de Onis,159,Valid,H5,34000.0,Fell,1866.0,43.38333,-5.15,"(43.383330, -5.150000)"
166,Canon City,160,Valid,H6,1400.0,Fell,1973.0,38.470279999999995,-105.24139,"(38.470280, -105.241390)"
167,Cape Girardeau,161,Valid,H6,2300.0,Fell,1846.0,37.26667,-89.58333,"(37.266670, -89.583330)"
168,Capilla del Monte,162,Valid,H6,750.0,Fell,1934.0,-30.883329999999997,-64.55,"(-30.883330, -64.550000)"
169,Carancas,163,Valid,H4-5,342.0,Fell,2007.0,-16.66444,-69.04389,"(-16.664440, -69.043890)"
170,Caratash,164,Valid,LL6,8.0,Fell,1902.0,38.5,27.0,"(38.500000, 27.000000)"
171,Castalia,165,Valid,H5,7300.0,Fell,1874.0,36.08333,-78.06667,"(36.083330, -78.066670)"
173,Castine,166,Valid,L6,94.0,Fell,1848.0,44.38333,-68.75,"(44.383330, -68.750000)"
174,Castrovillari,167,Valid,Stone-uncl,15000.0,Fell,1583.0,39.8,16.2,"(39.800000, 16.200000)"
175,Caswell County,168,Valid,OC,1360.0,Fell,1810.0,36.5,-79.25,"(36.500000, -79.250000)"
176,Ceniceros,169,Valid,L3.7,1025.0,Fell,1988.0,26.46667,-105.23333000000001,"(26.466670, -105.233330)"
177,Centerville,170,Valid,H5,45.6,Fell,1956.0,43.2,-96.91667,"(43.200000, -96.916670)"
178,Cereseto,171,Valid,H5,6460.0,Fell,1840.0,45.08333,8.3,"(45.083330, 8.300000)"
179,Chadong,172,Valid,L6,3700.0,Fell,1998.0,28.53333,109.31667,"(28.533330, 109.316670)"
180,Chail,173,Valid,H6,0.5,Fell,1814.0,25.366670000000003,81.66667,"(25.366670, 81.666670)"
181,Chainpur,174,Valid,LL3.4,8200.0,Fell,1907.0,25.85,83.48333000000001,"(25.850000, 83.483330)"
182,Chajari,175,Valid,L5,18300.0,Fell,1933.0,-30.78333,-58.05,"(-30.783330, -58.050000)"
183,Chandakapur,176,Valid,L5,8800.0,Fell,1838.0,20.26667,76.01666999999999,"(20.266670, 76.016670)"
184,Chandpur,177,Valid,L6,1100.0,Fell,1885.0,27.28333,79.05,"(27.283330, 79.050000)"
185,Changde,178,Valid,H5,1810.0,Fell,1977.0,29.08333,111.75,"(29.083330, 111.750000)"
186,Chantonnay,179,Valid,L6,31500.0,Fell,1812.0,46.68333,1.05,"(46.683330, 1.050000)"
187,Charlotte,180,Valid,"Iron, IVA",4300.0,Fell,1835.0,36.16667,-87.33333,"(36.166670, -87.333330)"
188,Charsonville,181,Valid,H6,27000.0,Fell,1810.0,47.93333,1.56667,"(47.933330, 1.566670)"
189,Charwallas,182,Valid,H6,12000.0,Fell,1834.0,29.48333,75.5,"(29.483330, 75.500000)"
190,Chassigny,183,Valid,Martian (chassignite),4000.0,Fell,1815.0,47.71667,5.36667,"(47.716670, 5.366670)"
191,Château-Renard,184,Valid,L6,30000.0,Fell,1841.0,47.93333,2.91667,"(47.933330, 2.916670)"
192,Chaves,185,Valid,Howardite,2945.0,Fell,1925.0,41.93333,-7.46667,"(41.933330, -7.466670)"
193,Chela,186,Valid,H4,2936.0,Fell,1988.0,-3.66667,32.5,"(-3.666670, 32.500000)"
194,Chelyabinsk,187,Valid,LL5,100000.0,Fell,2013.0,54.816669999999995,61.11666999999999,"(54.816670, 61.116670)"
195,Chergach ,188,Valid,H5,100000.0,Fell,2007.0,23.69639,-5.01472,"(23.696390, -5.014720)"
196,Chernyi Bor,189,Valid,H4,6000.0,Fell,1964.0,53.7,30.1,"(53.700000, 30.100000)"
197,Cherokee Springs,190,Valid,LL6,8400.0,Fell,1933.0,35.03333,-81.88333,"(35.033330, -81.883330)"
198,Chervettaz,191,Valid,L5,705.0,Fell,1901.0,46.55,6.816669999999999,"(46.550000, 6.816670)"
199,Chervony Kut,192,Valid,Eucrite-mmict,1700.0,Fell,1939.0,50.83333,34.0,"(50.833330, 34.000000)"
200,Chetrinahatti,193,Valid,Stone-uncl,72.0,Fell,1880.0,14.5,76.5,"(14.500000, 76.500000)"
201,Chiang Khan,194,Valid,H6,367.0,Fell,1981.0,17.9,101.63333,"(17.900000, 101.633330)"
202,Chicora,195,Valid,LL6,303.0,Fell,1938.0,40.93333,-79.73333000000001,"(40.933330, -79.733330)"
203,Chisenga,196,Valid,"Iron, IIIAB",3920.0,Fell,1988.0,-10.059439999999999,33.395,"(-10.059440, 33.395000)"
205,Chitenay,197,Valid,L6,4000.0,Fell,1978.0,47.47083,0.97667,"(47.470830, 0.976670)"
206,Cilimus,198,Valid,L5,1600.0,Fell,1979.0,-6.95,108.1,"(-6.950000, 108.100000)"
207,Claxton,199,Valid,L6,1455.0,Fell,1984.0,32.1025,-81.87278,"(32.102500, -81.872780)"
209,Colby (Wisconsin),200,Valid,L6,104000.0,Fell,1917.0,44.9,-90.28333,"(44.900000, -90.283330)"
210,Cold Bokkeveld,201,Valid,CM2,5200.0,Fell,1838.0,-33.13333,19.383329999999997,"(-33.133330, 19.383330)"
211,Coleman,202,Valid,L6,469.0,Fell,1994.0,43.761109999999995,-84.50778000000001,"(43.761110, -84.507780)"
212,Collescipoli,203,Valid,H5,5000.0,Fell,1890.0,42.53333,12.61667,"(42.533330, 12.616670)"
213,Conquista,204,Valid,H4,20350.0,Fell,1965.0,-19.85,-47.55,"(-19.850000, -47.550000)"
